OrderID,Data_Ordine,Cliente_ID,Categoria,Prodotto,Prezzo_Unitario,Quantita,Sconto_Applicato,Metodo_Pagamento,Stato_Spedizione,Citta_Destinazione
1064,2026-02-08,C658,Laptop,ThinkPad X1 Carbon,1650.0,1,0.15,Bonifico,Consegnato,Roma
1065,2026-02-10,C125,Monitor,LG UltraGear 34,799.0,1,0.0,Bonifico,Consegnato,Genova
1066,2026-02-10,C328,Smartphone,Samsung Galaxy S24,950.0,1,,Bonifico,Consegnato,Torino
1067,2026-02-11,C130,Smartphone,Samsung Galaxy S24,950.0,1,0.12,PayPal,Consegnato,Napoli
1068,2026-02-08,C130,Smartphone,iPhone 15 Pro,1300.0,2,0.1,Bonifico,Consegnato,Milano
1069,2026-02-11,C338,Accessori,Hub USB-C Satechi,65.0,1,0.15,PayPal,Consegnato,Bologna
1070,2026-02-13,C754,Accessori,Mouse Logi MX Master 3,99.5,1,0.05,Bonifico,Consegnato,Palermo
1071,2026-02-13,C818,Laptop,MacBook Air M2,1199.99,1,0.05,Carta di Credito,Consegnato,Firenze
1072,2026-02-13,C928,Monitor,LG UltraGear 34,799.0,3,0.1,PayPal,Consegnato,Bologna
1073,2026-02-13,C132,Accessori,Mouse Logi MX Master 3,99.5,1,0.0,Bonifico,Consegnato,Torino
1074,2026-02-12,C189,Smartphone,Samsung Galaxy S24,950.0,1,,Bonifico,Consegnato,Roma
1075,2026-02-13,C195,Accessori,Cavo USB-C Anker,15.99,1,0.0,Bonifico,Consegnato,Milano
1076,2026-02-13,C928,Monitor,Dell UltraSharp 27,450.0,1,0.15,Carta di Credito,Annullato,Bologna
1077,2026-02-16,C529,Smartphone,Samsung Galaxy S24,950.0,1,0.0,PayPal,Consegnato,Roma
1078,2026-02-17,C325,Laptop,MacBook Air M2,1199.99,1,,PayPal,Consegnato,Napoli
1079,2026-02-14,C928,Smartphone,Google Pixel 8,799.0,1,0.1,Bonifico,Consegnato,Palermo
1080,2026-02-17,C106,Smartphone,Samsung Galaxy S24,950.0,1,0.0,Bonifico,Consegnato,Napoli
1081,2026-02-17,C132,Laptop,ThinkPad X1 Carbon,1650.0,1,0.1,Carta di Credito,Consegnato,Palermo
1082,2026-02-20,C529,Monitor,Dell UltraSharp 27,450.0,1,0.12,Bonifico,Annullato,Roma
1083,2026-02-18,C132,Accessori,Hub USB-C Satechi,65.0,1,0.0,Carta di Credito,Rimborsato,Torino
1084,2026-02-17,C859,Accessori,Cavo USB-C Anker,15.99,1,,PayPal,Consegnato,Palermo
1085,2026-02-20,C303,Monitor,LG UltraGear 34,799.0,1,0.1,PayPal,Consegnato,Bologna
1086,2026-02-19,C350,Accessori,Stand per Laptop,45.0,2,0.1,Carta di Credito,In Transito,Bologna
1087,2026-02-23,C125,Accessori,Hub USB-C Satechi,65.0,1,0.05,PayPal,Consegnato,Genova
1088,2026-02-23,C350,Smartphone,Samsung Galaxy S24,950.0,1,0.0,Carta di Credito,Annullato,Firenze
1089,2026-02-23,C325,Monitor,LG UltraGear 34,799.0,2,0.1,PayPal,Consegnato,Bologna
1090,2026-02-23,C242,Smartphone,Google Pixel 8,799.0,2,0.0,Bonifico,Consegnato,Milano
1091,2026-02-23,C703,Monitor,LG UltraGear 34,799.0,1,0.15,Carta di Credito,Consegnato,Torino
1092,2026-02-24,C818,Smartphone,iPhone 15 Pro,1300.0,1,0.1,Carta di Credito,Consegnato,Bologna
1093,2026-02-27,C754,Smartphone,iPhone 15 Pro,1300.0,1,,Carta di Credito,Consegnato,Roma
1094,2026-02-24,C325,Monitor,LG UltraGear 34,799.0,1,0.05,PayPal,Consegnato,Torino
1095,2026-02-27,C658,Accessori,Mouse Logi MX Master 3,99.5,1,0.15,PayPal,Consegnato,Bologna
1096,2026-02-25,C195,Monitor,LG UltraGear 34,799.0,2,0.05,PayPal,Consegnato,Genova
1097,2026-02-28,C338,Accessori,Stand per Laptop,45.0,1,0.0,PayPal,Consegnato,Palermo
1098,2026-03-01,C674,Accessori,Hub USB-C Satechi,65.0,3,0.0,Bonifico,Consegnato,Roma
1099,2026-03-01,C328,Smartphone,iPhone 15 Pro,1300.0,1,0.05,Bonifico,Rimborsato,Roma
1100,2026-03-02,C132,Monitor,LG UltraGear 34,799.0,1,,Bonifico,Annullato,Genova
1101,2026-03-02,C325,Laptop,MacBook Air M2,1199.99,1,0.1,PayPal,In Transito,Roma
1102,2026-03-03,C328,Laptop,MacBook Pro 14,2100.0,1,0.0,Carta di Credito,Consegnato,Milano
1103,2026-03-03,C716,Monitor,LG UltraGear 34,799.0,1,0.05,Bonifico,Consegnato,Torino
1104,2026-03-02,C858,Laptop,MacBook Pro 14,2100.0,1,0.0,Bonifico,Consegnato,Palermo
1105,2026-03-04,C658,Monitor,Dell UltraSharp 27,450.0,2,0.05,PayPal,Consegnato,Torino
1106,2026-03-03,C818,Monitor,LG UltraGear 34,799.0,1,0.05,PayPal,Consegnato,Bologna
1107,2026-03-04,C674,Smartphone,iPhone 15 Pro,1300.0,1,0.1,Bonifico,Consegnato,Bologna
1108,2026-03-04,C303,Monitor,Dell UltraSharp 27,450.0,1,0.1,Bonifico,Rimborsato,Palermo
1109,2026-03-06,C704,Monitor,Dell UltraSharp 27,450.0,1,0.1,Bonifico,Consegnato,Torino
1110,2026-03-05,C125,Monitor,LG UltraGear 34,799.0,1,0.0,Carta di Credito,Consegnato,Bologna
1111,2026-03-08,C833,Accessori,Tastiera Meccanica Keychron,120.0,1,0.05,PayPal,Consegnato,Bologna
1112,2026-03-07,C132,Smartphone,Samsung Galaxy S24,950.0,1,0.0,Carta di Credito,Consegnato,Roma
1113,2026-03-08,C704,Smartphone,Google Pixel 8,799.0,1,0.15,Carta di Credito,Consegnato,Roma
1114,2026-03-10,C127,Monitor,LG UltraGear 34,799.0,2,,Carta di Credito,Consegnato,Palermo
1115,2026-03-08,C925,Monitor,Dell UltraSharp 27,450.0,1,0.1,PayPal,Rimborsato,Bologna
1116,2026-03-12,C242,Accessori,Mouse Logi MX Master 3,99.5,2,0.0,PayPal,Consegnato,Napoli
1117,2026-03-13,C854,Smartphone,Samsung Galaxy S24,950.0,1,,Bonifico,Rimborsato,Genova
1118,2026-03-14,C204,Smartphone,Google Pixel 8,799.0,1,0.05,PayPal,Rimborsato,Bologna
1119,2026-03-10,C127,Accessori,Hub USB-C Satechi,65.0,1,0.0,PayPal,Consegnato,Firenze
1120,2026-03-15,C716,Laptop,MacBook Pro 14,2100.0,1,,PayPal,Consegnato,Napoli
1121,2026-03-16,C214,Laptop,ASUS ZenBook 14,999.0,1,0.0,Bonifico,Consegnato,Napoli
1122,2026-03-16,C189,Accessori,Cavo USB-C Anker,15.99,2,0.15,Bonifico,Consegnato,Torino
1123,2026-03-14,C384,Monitor,Dell UltraSharp 27,450.0,1,,Carta di Credito,Consegnato,Napoli
1124,2026-03-17,C338,Laptop,ThinkPad X1 Carbon,1650.0,1,0.0,PayPal,Consegnato,Roma
1125,2026-03-17,C818,Monitor,Dell UltraSharp 27,450.0,1,0.0,Bonifico,Consegnato,Bologna
1126,2026-03-18,C214,Laptop,MacBook Pro 14,2100.0,2,0.05,Carta di Credito,Consegnato,Palermo
1127,2026-03-15,C350,Monitor,Dell UltraSharp 27,450.0,1,0.0,Bonifico,Consegnato,Firenze
1128,2026-03-19,C877,Monitor,LG UltraGear 34,799.0,1,0.05,Bonifico,Consegnato,Napoli
1129,2026-03-19,C818,Accessori,Hub USB-C Satechi,65.0,1,0.05,PayPal,Consegnato,Firenze
1130,2026-03-20,C338,Monitor,LG UltraGear 34,799.0,3,0.1,PayPal,Consegnato,Roma
1131,2026-03-18,C765,Laptop,ASUS ZenBook 14,999.0,2,0.1,Bonifico,Rimborsato,Firenze
1132,2026-03-18,C833,Monitor,LG UltraGear 34,799.0,2,0.12,PayPal,Consegnato,Firenze
1133,2026-03-19,C990,Accessori,Tastiera Meccanica Keychron,120.0,1,0.0,Carta di Credito,Consegnato,Firenze
1134,2026-03-19,C130,Accessori,Hub USB-C Satechi,65.0,2,,Bonifico,Consegnato,Milano
1135,2026-03-24,C130,Laptop,ThinkPad X1 Carbon,1650.0,1,0.15,PayPal,Consegnato,Torino
1136,2026-03-22,C990,Smartphone,iPhone 15 Pro,1300.0,1,0.1,Carta di Credito,Consegnato,Napoli
1137,2026-03-24,C833,Smartphone,Samsung Galaxy S24,950.0,1,0.0,PayPal,Consegnato,Roma
1138,2026-03-22,C204,Accessori,Webcam Logitech Brio,180.0,1,0.0,PayPal,Consegnato,Palermo
1139,2026-03-26,C818,Smartphone,Samsung Galaxy S24,950.0,1,0.05,PayPal,Consegnato,Bologna
1140,2026-03-27,C325,Monitor,Dell UltraSharp 27,450.0,1,,Carta di Credito,Consegnato,Bologna
1141,2026-03-25,C854,Monitor,LG UltraGear 34,799.0,1,0.0,Bonifico,Consegnato,Torino
1142,2026-03-27,C384,Accessori,Webcam Logitech Brio,180.0,1,0.1,PayPal,Consegnato,Milano
1143,2026-03-28,C214,Smartphone,iPhone 15 Pro,1300.0,2,0.1,Bonifico,Consegnato,Genova
1144,2026-03-27,C242,Smartphone,iPhone 15 Pro,1300.0,3,0.0,Bonifico,Consegnato,Firenze
1145,2026-03-26,C765,Laptop,ThinkPad X1 Carbon,1650.0,1,0.05,Carta di Credito,Consegnato,Bologna
1146,2026-03-29,C704,Monitor,Dell UltraSharp 27,450.0,1,0.1,Bonifico,Consegnato,Firenze
1147,2026-03-29,C204,Accessori,Mouse Logi MX Master 3,99.5,1,0.0,Bonifico,Consegnato,Roma
1148,2026-03-29,C325,Smartphone,Google Pixel 8,799.0,2,0.05,Bonifico,Consegnato,Firenze
1149,2026-03-30,C204,Smartphone,iPhone 15 Pro,1300.0,1,0.1,PayPal,Consegnato,Firenze
1150,2026-04-02,C381,Monitor,LG UltraGear 34,799.0,1,0.0,PayPal,Consegnato,Roma
1151,2026-04-03,C877,Smartphone,Samsung Galaxy S24,950.0,1,,Bonifico,Annullato,Palermo
1152,2026-04-03,C658,Monitor,LG UltraGear 34,799.0,1,,PayPal,Consegnato,Firenze
1153,2026-03-31,C559,Accessori,Mouse Logi MX Master 3,99.5,1,0.05,PayPal,Consegnato,Torino
1154,2026-04-02,C127,Monitor,LG UltraGear 34,799.0,1,0.0,Bonifico,Consegnato,Firenze
1155,2026-04-01,C617,Laptop,MacBook Pro 14,2100.0,1,0.12,Bonifico,Rimborsato,Torino
1156,2026-04-04,C350,Accessori,Cavo USB-C Anker,15.99,1,0.1,Bonifico,Consegnato,Roma
1157,2026-04-04,C928,Smartphone,Google Pixel 8,799.0,2,,Bonifico,Consegnato,Roma
1158,2026-04-06,C559,Monitor,Dell UltraSharp 27,450.0,1,0.0,Carta di Credito,Consegnato,Palermo
1159,2026-04-04,C704,Accessori,Tastiera Meccanica Keychron,120.0,1,,Carta di Credito,Consegnato,Milano
1160,2026-04-06,C925,Accessori,Webcam Logitech Brio,180.0,1,0.0,Bonifico,Consegnato,Torino
1161,2026-04-08,C125,Smartphone,Samsung Galaxy S24,950.0,1,0.0,PayPal,Consegnato,Palermo
1162,2026-04-06,C384,Accessori,Cavo USB-C Anker,15.99,3,0.15,Carta di Credito,Consegnato,Palermo
1163,2026-04-09,C195,Smartphone,Google Pixel 8,799.0,1,,Carta di Credito,Annullato,Torino
1164,2026-04-08,C859,Smartphone,Samsung Galaxy S24,950.0,1,0.0,Bonifico,Annullato,Bologna
1165,2026-04-07,C792,Monitor,LG UltraGear 34,799.0,2,0.0,PayPal,Consegnato,Napoli
1166,2026-04-11,C716,Laptop,MacBook Pro 14,2100.0,1,0.05,Carta di Credito,Consegnato,Roma
1167,2026-04-10,C704,Laptop,ASUS ZenBook 14,999.0,2,,Bonifico,Consegnato,Torino
1168,2026-04-10,C125,Monitor,LG UltraGear 34,799.0,1,0.0,Bonifico,Consegnato,Milano
1169,2026-04-09,C214,Monitor,Dell UltraSharp 27,450.0,2,0.05,Bonifico,Consegnato,Genova
1170,2026-04-10,C195,Accessori,Cavo USB-C Anker,15.99,1,0.0,Bonifico,Consegnato,Palermo
1171,2026-04-11,C242,Smartphone,Google Pixel 8,799.0,1,0.1,Bonifico,Consegnato,Torino
1172,2026-04-13,C765,Laptop,ASUS ZenBook 14,999.0,1,0.05,Bonifico,Consegnato,Firenze
1173,2026-04-12,C703,Laptop,MacBook Pro 14,2100.0,2,0.0,PayPal,In Transito,Bologna
1174,2026-04-12,C716,Laptop,ASUS ZenBook 14,999.0,1,0.1,Carta di Credito,Consegnato,Firenze
1175,2026-04-14,C125,Monitor,LG UltraGear 34,799.0,2,0.0,Bonifico,Consegnato,Palermo
1176,2026-04-15,C854,Laptop,MacBook Pro 14,2100.0,1,0.0,Carta di Credito,Annullato,Firenze
1177,2026-04-16,C559,Smartphone,Google Pixel 8,799.0,1,0.0,Bonifico,Consegnato,Firenze
1178,2026-04-15,C617,Monitor,Dell UltraSharp 27,450.0,2,0.05,PayPal,Consegnato,Genova
1179,2026-04-17,C858,Smartphone,Google Pixel 8,799.0,1,,Bonifico,Consegnato,Roma
1180,2026-04-19,C350,Smartphone,Google Pixel 8,799.0,3,0.0,PayPal,Consegnato,Roma
1181,2026-04-19,C195,Monitor,LG UltraGear 34,799.0,1,0.05,Bonifico,Consegnato,Palermo
1182,2026-04-17,C716,Smartphone,Samsung Galaxy S24,950.0,1,0.15,Carta di Credito,Consegnato,Genova
1183,2026-04-20,C559,Accessori,Mouse Logi MX Master 3,99.5,1,0.1,PayPal,Consegnato,Roma
1184,2026-04-19,C127,Monitor,LG UltraGear 34,799.0,2,0.0,Carta di Credito,Consegnato,Firenze
1185,2026-04-21,C818,Laptop,ThinkPad X1 Carbon,1650.0,1,0.0,Bonifico,Consegnato,Roma
1186,2026-04-20,C858,Smartphone,Google Pixel 8,799.0,1,0.1,PayPal,Consegnato,Palermo
1187,2026-04-21,C925,Monitor,LG UltraGear 34,799.0,1,0.0,Carta di Credito,Consegnato,Palermo
1188,2026-04-21,C338,Monitor,Dell UltraSharp 27,450.0,1,0.0,PayPal,Annullato,Torino
1189,2026-04-23,C559,Accessori,Mouse Logi MX Master 3,99.5,3,0.15,Carta di Credito,Consegnato,Milano
1190,2026-04-24,C928,Monitor,LG UltraGear 34,799.0,2,0.1,Bonifico,Annullato,Roma
1191,2026-04-25,C303,Smartphone,Google Pixel 8,799.0,1,0.05,Bonifico,Consegnato,Firenze
1192,2026-04-23,C818,Smartphone,Google Pixel 8,799.0,1,0.0,Bonifico,Consegnato,Torino
1193,2026-04-25,C765,Laptop,MacBook Air M2,1199.99,1,0.0,Carta di Credito,Consegnato,Napoli
1194,2026-04-26,C703,Monitor,Dell UltraSharp 27,450.0,1,0.1,Bonifico,Consegnato,Bologna
1195,2026-04-29,C384,Laptop,ThinkPad X1 Carbon,1650.0,1,0.1,Carta di Credito,Consegnato,Firenze
1196,2026-04-30,C125,Laptop,MacBook Air M2,1199.99,1,0.1,Bonifico,Consegnato,Napoli
1197,2026-04-30,C833,Laptop,MacBook Pro 14,2100.0,2,0.05,Bonifico,Rimborsato,Palermo
1198,2026-04-28,C303,Monitor,LG UltraGear 34,799.0,1,0.0,PayPal,Consegnato,Palermo
1199,2026-04-28,C617,Accessori,Cavo USB-C Anker,15.99,2,0.0,PayPal,Rimborsato,Torino
1200,2026-04-30,C559,Laptop,ASUS ZenBook 14,999.0,1,0.0,PayPal,Consegnato,Roma
1201,2026-04-29,C195,Smartphone,Google Pixel 8,799.0,1,,Carta di Credito,Annullato,Firenze
1202,2026-04-30,C792,Smartphone,Google Pixel 8,799.0,1,,PayPal,Consegnato,Genova
1203,2026-05-04,C658,Accessori,Tastiera Meccanica Keychron,120.0,1,0.0,PayPal,Consegnato,Palermo
1204,2026-05-02,C384,Laptop,MacBook Air M2,1199.99,1,,Bonifico,Consegnato,Genova
1205,2026-05-03,C125,Smartphone,iPhone 15 Pro,1300.0,1,0.0,Bonifico,Consegnato,Genova
1206,2026-05-05,C818,Monitor,Dell UltraSharp 27,450.0,1,0.0,PayPal,Consegnato,Firenze
1207,2026-05-06,C127,Accessori,Tastiera Meccanica Keychron,120.0,1,0.05,Carta di Credito,Consegnato,Torino
1208,2026-05-05,C529,Smartphone,iPhone 15 Pro,1300.0,1,0.05,PayPal,Rimborsato,Firenze
1209,2026-05-04,C303,Monitor,LG UltraGear 34,799.0,1,0.05,PayPal,Consegnato,Bologna
1210,2026-05-07,C214,Monitor,LG UltraGear 34,799.0,1,,Bonifico,Consegnato,Milano
1211,2026-05-09,C529,Monitor,Dell UltraSharp 27,450.0,1,0.1,Carta di Credito,Consegnato,Genova
1212,2026-05-06,C532,Laptop,MacBook Air M2,1199.99,1,0.05,PayPal,Consegnato,Napoli
1213,2026-05-09,C559,Smartphone,Google Pixel 8,799.0,1,0.12,Bonifico,Consegnato,Firenze
1214,2026-05-09,C703,Smartphone,Samsung Galaxy S24,950.0,3,0.05,Bonifico,Consegnato,Firenze
1215,2026-05-09,C925,Smartphone,iPhone 15 Pro,1300.0,3,0.0,PayPal,Consegnato,Bologna
1216,2026-05-10,C189,Smartphone,Samsung Galaxy S24,950.0,1,0.1,Bonifico,Consegnato,Roma
1217,2026-05-12,C384,Smartphone,Samsung Galaxy S24,950.0,2,,Carta di Credito,Consegnato,Bologna
1218,2026-05-09,C716,Smartphone,Google Pixel 8,799.0,1,0.05,Carta di Credito,Annullato,Bologna
1219,2026-05-13,C130,Accessori,Mouse Logi MX Master 3,99.5,1,0.1,Carta di Credito,Consegnato,Napoli
1220,2026-05-11,C859,Laptop,MacBook Pro 14,2100.0,1,0.05,Bonifico,Consegnato,Milano
1221,2026-05-15,C792,Smartphone,Google Pixel 8,799.0,2,,PayPal,Consegnato,Bologna
1222,2026-05-13,C195,Laptop,MacBook Air M2,1199.99,1,0.0,Bonifico,Consegnato,Milano
1223,2026-05-13,C833,Accessori,Mouse Logi MX Master 3,99.5,3,0.0,PayPal,Consegnato,Bologna
1224,2026-05-12,C754,Monitor,Dell UltraSharp 27,450.0,2,0.0,PayPal,In Transito,Palermo
1225,2026-05-14,C559,Smartphone,Samsung Galaxy S24,950.0,1,0.0,Carta di Credito,Consegnato,Bologna
1226,2026-05-15,C754,Monitor,LG UltraGear 34,799.0,1,0.15,Carta di Credito,Consegnato,Genova
1227,2026-05-17,C559,Monitor,Dell UltraSharp 27,450.0,1,0.0,Carta di Credito,Consegnato,Napoli
1228,2026-05-15,C132,Smartphone,iPhone 15 Pro,1300.0,1,0.0,PayPal,Consegnato,Milano
1229,2026-05-17,C127,Accessori,Mouse Logi MX Master 3,99.5,1,0.05,Carta di Credito,Consegnato,Bologna
1230,2026-05-16,C195,Monitor,Dell UltraSharp 27,450.0,1,0.0,Carta di Credito,Consegnato,Firenze
1231,2026-05-20,C928,Smartphone,Google Pixel 8,799.0,2,,Carta di Credito,Consegnato,Roma
1232,2026-05-21,C818,Monitor,Dell UltraSharp 27,450.0,2,0.0,Bonifico,Rimborsato,Napoli
1233,2026-05-22,C384,Accessori,Tastiera Meccanica Keychron,120.0,1,0.05,Carta di Credito,Consegnato,Palermo
1234,2026-05-18,C559,Smartphone,iPhone 15 Pro,1300.0,1,0.05,PayPal,Consegnato,Palermo
1235,2026-05-21,C214,Smartphone,Samsung Galaxy S24,950.0,2,0.12,Bonifico,Consegnato,Genova
1236,2026-05-22,C381,Laptop,MacBook Air M2,1199.99,3,0.05,PayPal,In Transito,Torino
1237,2026-05-23,C127,Smartphone,Samsung Galaxy S24,950.0,2,,PayPal,In Transito,Torino
1238,2026-05-23,C242,Accessori,Webcam Logitech Brio,180.0,1,0.0,Carta di Credito,Consegnato,Milano
1239,2026-05-23,C658,Smartphone,Google Pixel 8,799.0,1,0.0,PayPal,In Transito,Bologna
1240,2026-05-23,C242,Laptop,MacBook Pro 14,2100.0,1,,Carta di Credito,In Transito,Roma
1241,2026-05-23,C877,Laptop,MacBook Pro 14,2100.0,1,0.12,Carta di Credito,In Transito,Milano
1242,2026-05-26,C818,Accessori,Webcam Logitech Brio,180.0,1,,Carta di Credito,In Transito,Bologna
1243,2026-05-25,C990,Monitor,LG UltraGear 34,799.0,1,,Bonifico,In Transito,Genova
1244,2026-05-26,C130,Laptop,ThinkPad X1 Carbon,1650.0,1,0.05,PayPal,In Transito,Firenze
1245,2026-05-28,C703,Monitor,LG UltraGear 34,799.0,1,0.0,Carta di Credito,Consegnato,Palermo
1246,2026-05-27,C704,Monitor,Dell UltraSharp 27,450.0,2,,Bonifico,In Transito,Genova
